,,,sentence_id,AICAR|ALT-801|AMG 10_1,AICAR|ALT-801|AMG 10_2,sentence_text,title,sentence_text,,,
,sy,plus,821,gemcitabine,fluorouracil,To evaluate long-term survival outcomes and late toxicities of the sequential chemotherapy regimen of gemcitabine plus cisplatin ( GP ) compared with cisplatin plus fluorouracil ( PF ) in locoregionally advanced nasopharyngeal carcinoma ( NPC ) .,Comparing Long-Term Survival and Late Toxicities of Different Sequential Chemotherapy Regimens with Intensity-Modulated Radiotherapy in Locoregionally Advanced Nasopharyngeal Carcinoma.,To evaluate long-term survival outcomes and late toxicities of the sequential chemotherapy regimen of gemcitabine plus cisplatin ( GP ) compared with cisplatin plus fluorouracil ( PF ) in locoregionally advanced nasopharyngeal carcinoma ( NPC ) .,,,
,NE,effect,3401,pancreatic polypeptide,somatostatin,Vagal efferent nerve-dependent inhibitory action of pancreatic polypeptide and peptide YY in conscious rats : comparison with somatostatin .,Vagal efferent nerve-dependent inhibitory action of pancreatic polypeptide and peptide YY in conscious rats: comparison with somatostatin.,Vagal efferent nerve-dependent inhibitory action of pancreatic polypeptide and peptide YY in conscious rats : comparison with somatostatin .,,,
,NE,"efficacy, effective",7427,pentoxifylline,buflomedil,In comparative studies buflomedil 600 mg/day orally was shown to be significantly superior to placebo and comparable in efficacy to pentoxifylline ( oxpentifylline ) and naftidrofuryl .,"Buflomedil. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy in peripheral and cerebral vascular diseases.",In comparative studies buflomedil 600 mg/day orally was shown to be significantly superior to placebo and comparable in efficacy to pentoxifylline ( oxpentifylline ) and naftidrofuryl .,,,
,NE,"effective, effect",7428,buflomedil,cinnarizine,"In patients with symptoms presumed to be due to cerebrovascular insufficiencies and elderly patients with senile dementia , buflomedil 450 to 600 mg/day alleviated symptoms associated with impairment of cognitive and psychometric function and was significantly superior to placebo and slightly more effective than drugs such as cinnarizine , flunarizine and co-dergocrine mesylate .","Buflomedil. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy in peripheral and cerebral vascular diseases.","In patients with symptoms presumed to be due to cerebrovascular insufficiencies and elderly patients with senile dementia , buflomedil 450 to 600 mg/day alleviated symptoms associated with impairment of cognitive and psychometric function and was significantly superior to placebo and slightly more effective than drugs such as cinnarizine , flunarizine and co-dergocrine mesylate .",,,
,NE,"effective, effect",8059,haloperidol,Clozapine,Clozapine but not haloperidol suppresses the changes in the levels of neuropeptides in MK-801-treated rat brain regions .,Clozapine but not haloperidol suppresses the changes in the levels of neuropeptides in MK-801-treated rat brain regions.,Clozapine but not haloperidol suppresses the changes in the levels of neuropeptides in MK-801-treated rat brain regions .,,,
,NE,combined,8547,nifedipine,nicardipine,"Based on the findings of this review the following recommendations can be made with regard to tocolysis with calcium channel blockers : firstly , calcium channel blockers should not be combined with intravenous beta-agonists ; secondly , intravenous nicardipine or high oral doses of nifedipine should not be used in cases where the mother is cardiovascular compromised or in cases of multiple gestation ; finally , blood pressure should be monitored and cardiotocography recorded during the administration of immediate release tablets and patients should be advised to avoid chewing them .",Calcium channel blockers for tocolysis: a review of their role and safety following reports of serious adverse events.,"Based on the findings of this review the following recommendations can be made with regard to tocolysis with calcium channel blockers : firstly , calcium channel blockers should not be combined with intravenous beta-agonists ; secondly , intravenous nicardipine or high oral doses of nifedipine should not be used in cases where the mother is cardiovascular compromised or in cases of multiple gestation ; finally , blood pressure should be monitored and cardiotocography recorded during the administration of immediate release tablets and patients should be advised to avoid chewing them .",,,
,NE,effect,8929,haloperidol,sulpiride,"There was no apparent effect of icv CCK-8 on the enhancement of PRL release by haloperidol ( 0.2 mg/kg , iv ) , sulpiride ( 0.1 mg/kg , iv ) , domperidone ( 0.1 mg/kg , iv ) , or RO22 - 1319 ( 0.1 mg/kg , iv ) .",Intracerebroventricular injection of cholecystokinin octapeptide elevates plasma prolactin levels through stimulation of vasoactive intestinal polypeptide.,"There was no apparent effect of icv CCK-8 on the enhancement of PRL release by haloperidol ( 0.2 mg/kg , iv ) , sulpiride ( 0.1 mg/kg , iv ) , domperidone ( 0.1 mg/kg , iv ) , or RO22 - 1319 ( 0.1 mg/kg , iv ) .",,,
,NE,"['additive', 'greater-than-additive', 'combined', 'combination']",9266,sorafenib,lenvatinib,"The multi-kinase inhibitor lenvatinib , for the treatment of liver cancer , has fewer negative sequelae than sorafenib .",The multi-kinase inhibitor lenvatinib interacts with the HDAC inhibitor entinostat to kill liver cancer cells.,"The multi-kinase inhibitor lenvatinib , for the treatment of liver cancer , has fewer negative sequelae than sorafenib .",,,
,sy,"['additive', 'greater-than-additive', 'combined', 'combination'], interacted",9267,entinostat,lenvatinib,We determined the mechanisms by which lenvatinib interacted with the HDAC inhibitor entinostat to kill hepatoma cells .,The multi-kinase inhibitor lenvatinib interacts with the HDAC inhibitor entinostat to kill liver cancer cells.,We determined the mechanisms by which lenvatinib interacted with the HDAC inhibitor entinostat to kill hepatoma cells .,,,
,sy,"['additive', 'greater-than-additive', 'combined', 'combination'], interacted",9268,Lenvatinib,entinostat,Lenvatinib and entinostat interacted in an additive to greater-than-additive fashion to kill liver cancer cells .,The multi-kinase inhibitor lenvatinib interacts with the HDAC inhibitor entinostat to kill liver cancer cells.,Lenvatinib and entinostat interacted in an additive to greater-than-additive fashion to kill liver cancer cells .,,,
,sy,"['additive', 'greater-than-additive', 'combined', 'combination']",9275,lenvatinib,entinostat,Knock down of HDACs1/2/3 prevented the lenvatinib and entinostat combination from regulating PD-L1 and MHCA expression .,The multi-kinase inhibitor lenvatinib interacts with the HDAC inhibitor entinostat to kill liver cancer cells.,Knock down of HDACs1/2/3 prevented the lenvatinib and entinostat combination from regulating PD-L1 and MHCA expression .,,,
