,sy/an/un/NE,,sentence_id,{combospartial.1},{combospartial.2},sentence_text
,un,,757638,praziquantel,mefloquine,"Cercariae were incubated with 0.5 μg/ml , 1 μg/ml and 2 μg/ml mefloquine or primaquine and with 1 μg/ml praziquantel for 12h ."
,un,,757639,praziquantel,mefloquine,"Schistosomula , pre-adults and adults were incubated with 0.5 μg/ml , 1 μg/ml and 2 μg/ml mefloquine or primaquine and with 1 μg/ml praziquantel for 7 days ."
,NE,,1840453,mefloquine,artesunate,"Specimens from enrolled children were analyzed in vitro for sensitivity to chloroquine ( CQ ) , amodiaquine ( AQ ) , mefloquine ( MQ ) , lumefantrine , and artemisinin derivatives ( artesunate and dihydroartemisinin ) and for drug resistance allele polymorphisms in P. falciparum crt ( Pfcrt ) , Pfmdr-1 , and the K13 propeller domain ( K13 ) ."
,NE,,1840453,lumefantrine,artesunate,"Specimens from enrolled children were analyzed in vitro for sensitivity to chloroquine ( CQ ) , amodiaquine ( AQ ) , mefloquine ( MQ ) , lumefantrine , and artemisinin derivatives ( artesunate and dihydroartemisinin ) and for drug resistance allele polymorphisms in P. falciparum crt ( Pfcrt ) , Pfmdr-1 , and the K13 propeller domain ( K13 ) ."
,NE,,2445942,mefloquine,artesunate,This article aims to describe the protocol for systematic review and individual patient meta-analysis ( MA ) for a study of the distribution of artesunate and mefloquine dosage administered in patients with uncomplicated
,NE,,3981742,Lumefantrine,artesunate,"Lumefantrine , amodiaquin , and artesunate all showed blockade of Rho-123 transport ."
,sy,In-combination-with,4361886,Mefloquine,artesunate,"Mefloquine ( MQ ) has been used for the treatment of malaria since the mid-1980s , first as monotherapy or as fixed combination with sulfadoxine-pyrimethamine ( MSP ) and since the mid-1990s in combination with artesunate ."
,NE,,4903843,mefloquine,artesunate,"Isolates in categories I and III were more sensitive to chloroquine and more resistant to mefloquine , artesunate , and artemisinin than isolates in categories II and IV ( P < /= 0.01 ) ."
,NE,,4903848,mefloquine,artesunate,"The isolates in all 8 samples fell into categories I and III and were significantly more resistant to mefloquine , quinine , artemisinin , and artesunate and more sensitive to chloroquine than the isolates in the 57 samples with <3 copies of the gene ( P < /= 0.001 ) ."
,NE,,5484196,lumefantrine,artesunate,"Artemether , lumefantrine , or artemether in combination with lumefantrine was encapsulated in an oil phase , and the in vivo performance was assessed by comparison with artesunate for injection ."
